Px,  Py,                      theta1,                       theta4
7.36,    6.2,                     132.069765077744,                        39.8506126487298
7.42,    6.4,                     130.428843662141,                        40.4284291899536
7.48,    6.6,                     128.774777062244,                        41.0706598823279
7.54,    6.8,                     127.103983640258,                        41.7755398210641
7.60,    7.0,                     125.412701902782,                        42.5418088456133
7.66,    7.2,                     123.696908313393,                        43.3687106196736
7.72,    7.4,                     121.952221146585,                        44.2560022289027
7.78,    7.6,                     120.173783793957,                        45.2039761475102
7.84,    7.8,                     118.356118392735,                        46.2134971916211
7.90,    8.0,                     116.492936614909,                        47.2860582026278
7.96,    8.2,                     114.576887956752,                        48.4238598694516
8.02,    8.4,                     112.599215123868,                        49.6299226080708
8.08,    8.6,                     110.549267742067,                        50.9082422859963
8.14,    8.8,                     108.413792933997,                        52.2640077115112
8.20,    9.0,                     106.17586019427,                     53.7039078368243
10.70,   8.2,                     85.7846737376188,                        30.583129965566
10.60,   8.4,                     85.4618518513389,                        33.1656778458559
10.50,   8.6,                     84.99925474031,                      35.7677734636805
10.40,   8.8,                     84.3788528663833,                        38.3972256715559
10.20,   9.0,                     84.8364471293568,                        41.5437943745029
10.00,   9.0,                     87.2765779623483,                        42.5443230196847
9.80,    9.0,                     89.6230430892879,                        43.5962285563756
9.60,    9.0,                     91.8899573726116,                        44.6981648168899
9.40,    9.0,                     94.0879185638742,                        45.8488038145099
9.20,    9.0,                     96.2250373347547,                        47.0468364361884
9.10,    8.8,                     98.9841202654557,                        45.6572678510131
9.00,    8.6,                     101.57937623572,                     44.3647585646378
8.90,    8.4,                     104.045438627059,                        43.162395252272
8.80,    8.2,                     106.407503805704,                        42.045007998727
8.70,    8.0,                     108.684699975182,                        41.008816644917
8.60,    7.8,                     110.892071533865,                        40.0511838986361
8.60,    7.6,                     112.031689707262,                        38.3717604077444
8.60,    7.4,                     113.104472188154,                        36.7165477832248
8.60,    7.2,                     114.113462868329,                        35.0817142969097
8.60,    7.0,                     115.06093300744,                     33.4636961114563
8.60,    6.8,                     115.948493529122,                        31.8591216078644
8.60,    6.6,                     116.777177020571,                        30.2647452058828
8.60,    6.4,                     117.547497194543,                        28.6773871156266
8.60,    6.2,                     118.25949117111,                     27.0938760645603
8.70,    6.0,                     117.77629361795,                     24.5157214396633
8.80,    5.8,                     117.195308696553,                        21.879301392143
8.90,    5.6,                     116.515220547139,                        19.1756176558375
9.00,    5.4,                     115.734798563462,                        16.394967938539
9.10,    5.2,                     114.852964897349,                        13.526839425502
9.20,    5.0,                     113.86886365362,                     10.5598046060297
9.40,    5.0,                     111.45258537479,                     8.40292194331304
9.60,    5.0,                     109.057688925962,                        6.33217985288815
9.80,    5.0,                     106.682893248088,                        4.35304576194869
10.00,   5.0,                     104.32662841122,                     2.4701618622054
10.20,   5.0,                     101.987055856659,                        0.68730449725392
10.40,   5.0,                     99.662082095989,                     179.007373238049
10.50,   5.2,                     98.4361936260711,                        0.516121046317284
10.60,   5.4,                     97.1505741151602,                        2.03122453493205
10.70,   5.6,                     95.8027221602876,                        3.55544730884366
10.80,   5.8,                     94.3892563576062,                        5.0914954382613
10.90,   6.0,                     92.9057542077016,                        6.64207641372674
11.00,   6.2,                     91.346523612567,                     8.20995492783726
11.00,   6.4,                     90.8489259324138,                        10.3474719990043
11.00,   6.6,                     90.2714703378849,                        12.4630012692156
10.80,   6.6,                     92.548975262842,                     13.588656444399
10.60,   6.6,                     94.8061995805454,                        14.7852822502497
10.60,   6.6,                     94.8061995805454,                        14.7852822502497
10.40,   6.6,                     97.0465206445902,                        16.0516673966409
